work;separation;partner;marriage;children
16;26;;28;29
18;;;;
24;25;;25;26
18;18;;18;19
19;14;20;20;39
;17;;17;17
;;;;
15;16;;16;16
18;;;20;22
23;23;;23;24
;17;16;17;17
21;21;21;22;
21;26;;23;23
16;26;26;29;30
19;30;;24;26
;17;18;20;19
37;44;;41;42
13;18;;19;20
;20;;;
16;40;;20;21
18;20;20;20;20
16;20;;22;
18;24;;24;25
15;17;;18;19
16;16;;21;22
16;19;;19;20
18;21;;21;22
14;19;;19;21
15;18;;18;
17;;;;
21;22;;22;23
16;21;23;23;24
17;;;20;
29;;;;22
;;20;20;20
;;;19;20
21;20;;20;21
;23;;;27
23;;27;;
21;43;;43;27
;;;33;33
20;;;31;31
25;20;;20;21
;;;31;32
;;;27;26
18;;;;
;;;23;
18;18;;28;28
21;;;;
;25;;20;21
40;38;;38;
;;;;
;18;;20;20
;;;18;20
;18;;20;20
25;;;31;
14;;;;
16;;;;
;;;;
14;;;;
24;23;;;
16;19;;;
;;;19;19
22;22;22;23;23
;;;23;24
;;;39;22
18;18;;19;20
28;28;;28;28
20;22;;21;22
20;;26;24;28
19;;;19;20
;20;;22;23
;26;;23;23
20;;;23;35
;34;22;33;35
;17;;26;28
;23;;23;20
19;19;;19;22
16;16;;26;30
20;;;;
18;18;;20;22
19;;;19;20
;;;19;20
19;;21;;
19;23;29;;
19;19;;23;25
;24;;24;27
18;20;;;
19;18;18;19;20
22;23;;23;23
22;19;;19;21
10;21;;25;25
14;15;15;24;24
14;16;22;26;26
17;;;27;29
23;;23;25;20
;15;26;26;27
16;19;;19;22
16;23;20;23;23
18;18;;21;23
20;23;;21;22
20;21;;21;22
18;21;;23;24
18;19;;19;21
18;;52;52;31
20;22;;22;24
14;20;;20;21
19;23;23;20;21
21;20;;24;25
;17;22;22;23
;;26;26;26
;23;;23;24
15;30;21;21;22
12;18;;22;22
;18;22;22;
20;22;35;35;25
17;21;21;23;23
18;21;;21;22
19;25;;21;22
21;21;;21;21
17;19;22;22;23
19;19;;22;23
17;19;19;20;21
18;18;;22;22
15;18;15;21;21
17;28;;24;25
22;18;;;
17;16;;19;
18;24;;24;23
18;17;21;21;22
20;20;;;
;;;;
;19;;19;21
25;20;;25;25
16;18;;20;20
17;24;24;24;26
11;21;;22;24
18;19;;24;27
18;16;25;26;28
23;26;;26;28
16;16;19;19;20
18;;;;
19;16;20;20;21
17;17;;20;22
15;17;;23;24
17;21;21;27;27
;;;;
17;;23;23;24
;23;;23;24
;19;19;18;18
19;20;20;20;20
;19;;25;26
22;20;20;;
24;25;25;;
21;23;;23;24
18;;;;
;;;;
;22;;22;23
19;;;;
20;20;23;22;24
;17;;21;25
21;19;;;
24;24;;24;26
18;18;18;18;21
13;21;;25;36
16;20;;22;30
;19;;22;23
19;22;25;;
16;20;;20;21
19;;;;
13;;;24;25
16;16;;25;26
15;27;;27;33
19;20;;19;19
21;21;;22;23
18;19;;19;20
20;25;;27;27
17;18;18;20;23
19;23;;23;26
21;15;22;21;22
;16;;16;17
23;17;;;34
;17;21;21;22
;;;21;23
;25;;25;26
;17;;;20
;18;;19;20
17;19;;;
;17;;26;27
20;20;;;
16;17;;24;24
17;15;;19;19
;19;;19;20
;18;;23;24
;25;;;25
22;24;;26;27
18;;;;38
20;30;;29;31
16;19;23;23;21
21;;;;
;30;;25;27
16;16;;20;21
26;26;24;24;21
28;26;;26;27
;;;;
20;18;19;;18
22;23;;23;23
16;25;;22;23
23;25;;25;26
14;20;31;28;30
23;16;;23;24
17;17;24;24;28
17;17;;18;19
14;;;19;20
15;23;26;23;22
20;23;23;22;23
19;23;23;23;24
21;23;29;23;27
23;27;;25;27
16;21;;22;26
16;16;;21;22
23;27;;27;27
17;19;;22;23
16;18;;20;22
20;23;;23;24
23;18;;;
;;;20;21
